ticks = 3
------------------------------------------------------------------------
  X PRICE     VOLUME  TIME            BIDs  ASKs  BIDp        ASKp
------------------------------------------------------------------------
  B 267.09310 2007958 1574174606599   100   100   267.09000   267.11000
  S 267.14000 2023696 1574174614659   100   200   267.13000   267.15000
  S 267.16670 2029276 1574174621216   300  1000   267.15000   267.18000
  B 267.22000 2077300 1574174645499   100   100   267.20000   267.21000
  S 267.37000 2102220 1574174653481   300  1000   267.35000   267.38000
  B 267.35000 2116349 1574174661231   100   200   267.35000   267.38000
  B 267.32000 2125728 1574174674478   200   100   267.31000   267.33000
  B 267.21500 2132332 1574174677644   200   100   267.20000   267.23000
  B 267.07010 2148705 1574174697590   100   200   267.07000   267.08000
  B 267.02000 2209595 1574174722721   100   300   267.02000   267.04000
  B 266.84840 2242218 1574174730549  1100   100   266.84000   266.87000
  S 266.96280 2244657 1574174734799   500   100   266.95000   266.97000
  S 266.97890 2255879 1574174741527   100   200   266.98000   267.01000
  B 266.94000 2276344 1574174765938   200   400   266.92000   266.94000
  B 266.91000 2285747 1574174774358   100   200   266.91000   266.92000
  S 266.92060 2316884 1574174829907   700   300   266.91000   266.93000
  S 266.84100 2334285 1574174845717   100   100   266.84000   266.86000
  B 266.75500 2361312 1574174863425   200   100   266.74000   266.77000
  S 266.79000 2376413 1574174870363   100   200   266.77000   266.80000
  S 266.80350 2381002 1574174878982   100   200   266.80000   266.81000
  S 266.87990 2384189 1574174883787   400   100   266.86000   266.88000
  B 266.84750 2388336 1574174887652   300   100   266.82000   266.85000
  S 266.99000 2399147 1574174901406   200   300   266.97000   266.99000
  S 267.04960 2411437 1574174908205   200   300   267.04000   267.05000
  S 267.10000 2426917 1574174924648   200   200   267.10000   267.11000
  S 267.14600 2432223 1574174930546   200   100   267.14000   267.15000
  S 267.25000 2438662 1574174934944   100 14600   267.24000   267.25000
  B 267.26000 2471388 1574174949774   100   200   267.24000   267.26000
  S 267.30000 2479237 1574174957286   400  1400   267.27000   267.30000
  B 267.22010 2491795 1574174966846   100   200   267.22000   267.25000
