ticks = 9
------------------------------------------------------------------------
  X PRICE     VOLUME  TIME            BIDs  ASKs  BIDp        ASKp
------------------------------------------------------------------------
  B 267.25000 2438662 1574174934944   100 14600   267.24000   267.25000
  B 267.14990 3899904 1574176329873   400   300   267.11000   267.14000
  B 267.38000 4004478 1574176392549   400   200   267.37000   267.39000
  B 266.86000 5336141 1574177916956   500   300   266.84000   266.87000
  S 266.29000 7971723 1574181410377   500   200   266.29000   266.32000
  B 266.48000 8701405 1574182805304   100   100   266.47000   266.49000
  B 266.39000 9193589 1574183764623   200   500   266.38000   266.39000
  S 265.83280 10000914 1574186471183  1000   200   265.82000   265.84000
  B 266.09000 10506733 1574187966299   100   300   266.11000   266.12000
  S 266.57000 12420392 1574193209470   200   100   266.55000   266.57000
  B 266.82000 12690599 1574194046524   100   700   266.83000   266.84000
