ticks = 7
------------------------------------------------------------------------
  X PRICE     VOLUME  TIME            BIDs  ASKs  BIDp        ASKp
------------------------------------------------------------------------
  S 267.19000 2033857 1574174622837   100  3000   267.19000   267.20000
  B 267.15670 2134249 1574174679949   300   100   267.15000   267.16000
  S 267.17000 2433049 1574174932185   100   900   267.17000   267.18000
  B 266.90000 2622413 1574175096451   200   100   266.91000   266.93000
  S 266.90970 3062992 1574175598546   300   100   266.89000   266.92000
  B 266.37000 3436638 1574175928143   100   300   266.36000   266.39000
  S 266.58000 3457304 1574175948122   200   100   266.56000   266.59000
  B 266.72350 3576819 1574176044125   200   100   266.71000   266.74000
  B 266.58000 3589109 1574176057810   200   100   266.56000   266.59000
  S 267.05800 3887829 1574176326644   300   200   267.04000   267.06000
  S 267.36000 3999157 1574176389856   400   200   267.35000   267.37000
  S 267.63440 4134718 1574176476407   400   100   267.62000   267.65000
  S 266.78000 4857754 1574177282128   200   400   266.76000   266.79000
  B 266.65000 4880697 1574177295447   400   100   266.65000   266.67000
  S 266.78200 5333704 1574177914032   500   200   266.77000   266.79000
  S 266.67000 5507943 1574178252543   400   200   266.65000   266.68000
  B 266.49000 5684523 1574178446178   300   100   266.47000   266.50000
  S 266.42000 5763368 1574178498163   200   100   266.40000   266.44000
  S 266.28000 6127266 1574178982038   200   200   266.26000   266.30000
  S 265.85000 6349473 1574179114872   200   100   265.84000   265.87000
  B 265.73000 6898277 1574179852199   400   200   265.72000   265.74000
  S 265.67000 6980672 1574180043764   300  1500   265.66000   265.68000
  S 266.14000 7482499 1574180659659   300   100   266.13000   266.14000
  S 266.19000 7584993 1574180827820   100   100   266.17000   266.19000
  B 266.17000 7715235 1574180963987   100   300   266.17000   266.19000
  S 266.34000 7798740 1574181121241   200   400   266.34000   266.36000
  B 266.25000 7899011 1574181275898   500   200   266.24000   266.27000
  B 266.31000 7970767 1574181408035   200   200   266.30000   266.32000
  S 266.47990 8370518 1574181935257   400   600   266.46000   266.48000
  S 266.59000 8524032 1574182254765   100   100   266.58000   266.60000
  S 266.40000 8635016 1574182610472   300   100   266.40000   266.43000
  B 266.34000 8648315 1574182677913   100   200   266.34000   266.37000
  B 266.30000 8663281 1574182753894   400   300   266.30000   266.32000
  S 266.44000 8697781 1574182802586   100   500   266.44000   266.45000
  B 266.36500 8713054 1574182817382   300   100   266.35000   266.37000
  B 266.18190 8768445 1574182963979   100   200   266.18000   266.19000
  S 266.19000 9092918 1574183431603   100   400   266.19000   266.21000
  S 266.26000 9155730 1574183647113   200   500   266.24000   266.27000
  S 266.35690 9192165 1574183755318   300   600   266.35000   266.37000
  S 266.23500 9500598 1574184736645   200   200   266.22000   266.24000
  S 266.01070 9723854 1574185294534   300   200   265.99000   266.02000
  B 265.91000 9742123 1574185392899   500   400   265.90000   265.92000
  B 265.84290 9997681 1574186468796   200   400   265.84000   265.85000
  B 265.70820 10033961 1574186496867   100   200   265.70000   265.71000
  S 266.04990 10257740 1574187094828   100   200   266.03000   266.05000
  S 266.09000 10330717 1574187287265   200   200   266.08000   266.09000
  S 266.06460 10505570 1574187959372   100   100   266.06000   266.07000
  S 266.17000 10723677 1574188794882   200   100   266.16000   266.18000
  S 266.38000 10882248 1574189371105   400   200   266.37000   266.39000
  S 266.67000 11157948 1574190171003   100   100   266.66000   266.67000
  B 266.88900 11299981 1574190454074   200   100   266.87000   266.89000
  S 267.14000 11793931 1574191634324   200   200   267.11000   267.14000
  S 267.04410 11913845 1574191909076   400   200   267.03000   267.05000
  B 266.58000 12417333 1574193203976   100   300   266.57000   266.58000
  B 266.70000 12640979 1574193834931   700   100   266.70000   266.71000
  S 266.80000 12683783 1574194019276   200   300   266.79000   266.80000
  B 266.89000 12835847 1574194518187   300   100   266.88000   266.90000
  B 266.83000 12867541 1574194641860   200   300   266.83000   266.86000
  S 266.92000 12900368 1574194764297   400   100   266.90000   266.92000
  S 266.55000 13436467 1574195818441   100   300   266.54000   266.56000
  S 266.59880 13538066 1574196094242   300   700   266.59000   266.60000
