ticks = 3
------------------------------------------------------------------------
  X PRICE     VOLUME  TIME            BIDs  ASKs  BIDp        ASKp
------------------------------------------------------------------------
  B 267.09310 2007958 1574174606599   100   100   267.09000   267.11000
  S 267.14000 2023696 1574174614659   100   200   267.13000   267.15000

  B 267.22000 2077300 1574174645499   100   100   267.20000   267.21000
  S 267.37000 2102220 1574174653481   300  1000   267.35000   267.38000

  B 267.35000 2116349 1574174661231   100   200   267.35000   267.38000
  S 266.96280 2244657 1574174734799   500   100   266.95000   266.97000

  B 266.94000 2276344 1574174765938   200   400   266.92000   266.94000
  S 266.92060 2316884 1574174829907   700   300   266.91000   266.93000

  B 266.75500 2361312 1574174863425   200   100   266.74000   266.77000
  S 266.79000 2376413 1574174870363   100   200   266.77000   266.80000

  B 266.84750 2388336 1574174887652   300   100   266.82000   266.85000
  S 266.99000 2399147 1574174901406   200   300   266.97000   266.99000

  B 267.26000 2471388 1574174949774   100   200   267.24000   267.26000
  S 267.30000 2479237 1574174957286   400  1400   267.27000   267.30000

  B 267.22010 2491795 1574174966846   100   200   267.22000   267.25000
  S 267.22990 2497103 1574174978506   100   200   267.20000   267.23000

  B 267.17000 2500745 1574174982938   100   400   267.16000   267.20000
  S 267.16000 2518278 1574175008209   100   200   267.15000   267.18000

  B 267.23000 2542588 1574175046363   100   100   267.23000   267.26000
  S 267.05000 2570805 1574175082944   200   100   267.05000   267.06000

  B 267.02000 2583706 1574175090863  2300   100   267.00000   267.02000
  S 266.97430 2624306 1574175101613   200   400   266.96000   266.98000

  B 266.94620 2627276 1574175106088   300   300   266.92000   266.95000
  S 267.02000 2663021 1574175119791   200   400   267.02000   267.05000

  B 267.03000 2671599 1574175127665   200   200   267.02000   267.03000
  S 266.96100 2690948 1574175146545   300   200   266.94000   266.97000

  B 266.88000 2697268 1574175157369   200   200   266.87000   266.89000
  S 266.86000 2707196 1574175173447   200   100   266.85000   266.87000

  B 266.98340 2743031 1574175211324   400   200   266.98000   267.01000
